,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,song
0,"['dfw rap', 'melodic rap', 'pop', 'rap']",178.205,True,0.638,0.855,7,-4.86,1,0.0264,0.00757,0.0,0.245,0.731,127.986,93,Post Malone,I Had Some Help (Feat. Morgan Wallen)
1,['chill abstract hip hop'],155.151,False,0.852,0.697,1,-5.52,0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,94,Tommy Richman,MILLION DOLLAR BABY
2,"['art pop', 'pop']",210.373,False,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,100,Billie Eilish,BIRDS OF A FEATHER
3,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",143.33,False,0.776,0.667,7,-6.622,1,0.0983,0.0146,0.3,0.0761,0.618,130.019,92,Charli xcx,Guess featuring Billie Eilish
4,['contemporary country'],181.621,False,0.621,0.779,8,-3.777,1,0.0361,0.216,8.62e-06,0.165,0.399,172.037,86,Morgan Wallen,Cowgirls (feat. ERNEST)
5,"['contemporary country', 'country']",210.95,False,0.487,0.658,5,-9.973,1,0.0296,0.00877,0.00777,0.1,0.282,142.18,85,Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album)
6,"['indie pop', 'pov: indie']",184.841,False,0.742,0.757,6,-4.981,1,0.0421,0.0187,0.0,0.305,0.957,139.982,91,Chappell Roan,HOT TO GO!
7,['classic oklahoma country'],227.195,False,0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,89,Zach Bryan,I Remember Everything (feat. Kacey Musgraves)
8,[],171.782,True,0.756,0.672,0,-6.743,1,0.0522,0.464,3.37e-06,0.108,0.739,114.935,91,Dasha,Austin (Boots Stop Workin')
9,['irish hip hop'],122.36,False,0.645,0.634,10,-3.769,0,0.0341,0.158,3.78e-06,0.0908,0.352,160.017,89,Jordan Adetunji,KEHLANI
10,"['classic texas country', 'modern country pop']",179.413,True,0.614,0.743,6,-5.046,1,0.0313,0.0839,0.0,0.107,0.623,138.077,79,Koe Wetzel,High Road (feat. Jessie Murph)
11,"['dfw rap', 'melodic rap', 'pop', 'rap']",195.122,False,0.582,0.909,11,-3.834,1,0.0342,0.00191,0.0,0.308,0.868,119.033,76,Post Malone,Pour Me A Drink (Feat. Blake Shelton)
12,['southern hip hop'],156.444,True,0.919,0.629,1,-5.17,1,0.376,0.0226,0.0,0.146,0.407,135.05,78,GloRilla,Wanna Be (with Megan Thee Stallion)
13,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",195.824,False,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,96,KAROL G,Si Antes Te Hubiera Conocido
14,"['dfw rap', 'melodic rap', 'pop', 'rap']",164.011,False,0.608,0.914,8,-4.116,1,0.0721,0.00545,0.0,0.137,0.511,120.01,84,Post Malone,Guy For That (Feat. Luke Combs)
15,['pop'],218.004,True,0.701,0.751,0,-8.39,1,0.0502,0.123,0.0,0.15,0.22,129.994,87,Taylor Swift,I Can Do It With a Broken Heart
16,['pop'],228.639,False,0.645,0.646,5,-8.334,1,0.0427,0.0615,3.04e-05,0.074,0.295,115.842,89,Ariana Grande,we can't be friends (wait for your love)
17,['pop'],228.965,False,0.504,0.386,11,-10.976,1,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,89,Taylor Swift,Fortnight (feat. Post Malone)
18,"['art pop', 'pop']",179.586,False,0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,92,Billie Eilish,LUNCH
19,"['boy band', 'dance pop', 'pop']",200.4,False,0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,90,*NSYNC,Bye Bye Bye - From Deadpool and Wolverine Soundtrack
20,"['houston rap', 'pop', 'r&b', 'rap', 'trap queen']",156.988,True,0.892,0.531,1,-4.968,1,0.207,0.033,0.0,0.0824,0.209,81.036,88,Megan Thee Stallion,Mamushi (feat. Yuki Chiba)
21,['modern country pop'],224.28,False,0.663,0.675,11,-5.851,1,0.0321,0.353,0.0,0.21,0.455,128.942,82,Ella Langley,you look like you love me (feat. Riley Green)
22,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",161.052,True,0.738,0.71,5,-3.778,0,0.0698,0.0266,0.0,0.156,0.722,151.985,77,Moneybagg Yo,WHISKEY WHISKEY (feat. Morgan Wallen)
23,"['art pop', 'pop']",261.466,False,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,90,Billie Eilish,WILDFLOWER
24,"['atl hip hop', 'melodic rap', 'rap', 'trap']",144.0,True,0.915,0.453,10,-4.589,0,0.27,0.0872,0.000163,0.104,0.287,139.943,85,Gunna,one of wun
25,"['melodic drill', 'r&drill']",140.733,True,0.882,0.764,11,-5.241,1,0.204,0.359,0.0,0.119,0.886,140.113,88,Central Cee,BAND4BAND (feat. Lil Baby)
26,"['ohio hip hop', 'pop rap']",189.356,False,0.549,0.679,7,-5.501,1,0.0346,0.0103,0.0,0.365,0.235,100.214,81,mgk,Lonely Road (with Jelly Roll)
27,['australian hip hop'],86.983,False,0.482,0.757,6,-4.586,1,0.0355,0.0137,0.0016,0.143,0.12,142.579,89,The Kid LAROI,NIGHTS LIKE THIS
28,['chill abstract hip hop'],130.944,True,0.904,0.452,9,-7.272,1,0.132,0.174,0.0,0.115,0.613,90.026,87,Tommy Richman,DEVIL IS A LIE
29,"['country rap', 'nashville hip hop', 'tennessee hip hop']",184.173,False,0.558,0.731,7,-3.801,1,0.043,0.0697,0.0,0.233,0.664,78.194,73,Jelly Roll,Chevrolet (feat. Jelly Roll)
