,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song
1,,,,,,,,,,,,,,,,Post Malone,"['Post Malone', 'Morgan Wallen']",I Had Some Help
11,,,,,,,,,,,,,,,,Charli xcx,"['Charli xcx', 'Billie Eilish']",Guess
12,,,,,,,,,,,,,,,,Morgan Wallen,"['Morgan Wallen', 'ERNEST']",Cowgirls
13,,,,,,,,,,,,,,,,Luke Combs,['Luke Combs'],Ain't No Love In Oklahoma
20,,,,,,,,,,,,,,,,Zach Bryan,"['Zach Bryan', 'Kacey Musgraves']",I Remember Everything
21,,,,,,,,,,,,,,,,Dasha,['Dasha'],Austin
26,,,,,,,,,,,,,,,,Koe Wetzel,"['Koe Wetzel', 'Jessie Murph']",High Road
27,,,,,,,,,,,,,,,,Post Malone,"['Post Malone', 'Blake Shelton']",Pour Me A Drink
29,,,,,,,,,,,,,,,,GloRilla,"['GloRilla', 'Megan Thee Stallion']",Wanna Be
30,,,,,,,,,,,,,,,,Hanumankind X Kalmi,['Hanumankind X Kalmi'],Big Dawgs
33,,,,,,,,,,,,,,,,Post Malone,"['Post Malone', 'Luke Combs']",Guy For That
37,,,,,,,,,,,,,,,,Taylor Swift,"['Taylor Swift', 'Post Malone']",Fortnight
44,,,,,,,,,,,,,,,,*NSYNC,['*NSYNC'],Bye Bye Bye
45,,,,,,,,,,,,,,,,Megan Thee Stallion,"['Megan Thee Stallion', 'Yuki Chiba']",Mamushi
47,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign', 'Playboi Carti', ' Kodak Black', 'Don Toliver']",Field Trip
48,,,,,,,,,,,,,,,,Ella Langley,"['Ella Langley', 'Riley Green']",You Look Like You Love Me
52,,,,,,,,,,,,,,,,Moneybagg Yo,"['Moneybagg Yo', 'Morgan Wallen']",Whiskey Whiskey
53,,,,,,,,,,,,,,,,FloyyMenor X Cris Mj,['FloyyMenor X Cris Mj'],Gata Only
57,,,,,,,,,,,,,,,,Central Cee,"['Central Cee', 'Lil Baby']",BAND4BAND
58,,,,,,,,,,,,,,,,mgk,"['mgk', 'Jelly Roll']",Lonely Road
63,,,,,,,,,,,,,,,,Dustin Lynch,"['Dustin Lynch', 'Jelly Roll']",Chevrolet
64,,,,,,,,,,,,,,,,Ice Spice,"['Ice Spice', 'Central Cee']",Did It First
72,,,,,,,,,,,,,,,,Tucker Wetmore,['Tucker Wetmore'],Wind Up Missin' You
75,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign', 'Future']",Promotion
76,,,,,,,,,,,,,,,,Luis R Conriquez x Neton Vega,['Luis R Conriquez x Neton Vega'],Si No Quieres No
78,,,,,,,,,,,,,,,,Jessie Murph,"['Jessie Murph', 'Teddy Swims']",Dirty
83,,,,,,,,,,,,,,,,Sexyy Red,"['Sexyy Red', 'Drake']",U My Everything
86,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign']",Fried
87,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign']",Slide
95,,,,,,,,,,,,,,,,Sevdaliza,"['Sevdaliza', ' Pabllo Vittar', 'Yseult']",Alibi
103,,,,,,,,,,,,,,,,Eminem,"['Eminem', ' Big Sean', 'BabyTron']",Tobey
108,,,,,,,,,,,,,,,,Royel Otis,['Royel Otis'],Linger
110,,,,,,,,,,,,,,,,Zach Bryan,"['Zach Bryan', 'John Mayer']",Better Days
121,,,,,,,,,,,,,,,,Kelsea Ballerini,"['Kelsea Ballerini', 'Noah Kahan']",Cowboys Cry Too
132,,,,,,,,,,,,,,,,Katy Perry,['Katy Perry'],Woman's World
135,,,,,,,,,,,,,,,,BossMan DLow,"['BossMan DLow', 'Lil Baby']",PJ
