,Unnamed: 0,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
0,,"['canadian contemporary r&b', 'canadian pop', 'pop']",199.111,False,0.702,0.586,9,-7.83,0,0.0313,0.0388,7.27e-05,0.156,0.608,134.951,81,The Weeknd,,Is There Someone Else?,1764
1,,"['atl hip hop', 'melodic rap', 'rap', 'trap']",185.213,True,0.878,0.575,9,-8.732,1,0.284,0.00293,0.0,0.273,0.399,144.918,54,Gunna,,mop (feat. Young Thug),1765
2,,"['canadian contemporary r&b', 'canadian pop', 'pop']",212.165,False,0.728,0.741,6,-7.075,0,0.0473,0.000582,0.00206,0.33,0.31,123.006,67,The Weeknd,,Gasoline,1766
3,,"['atl hip hop', 'melodic rap', 'rap', 'trap']",193.986,True,0.895,0.543,11,-6.766,0,0.298,0.181,0.0,0.12,0.555,120.078,53,Gunna,,alotta cake,1767
4,,"['canadian contemporary r&b', 'canadian pop', 'pop']",211.814,False,0.535,0.791,0,-5.55,1,0.0327,0.00096,0.000155,0.0788,0.5,142.981,72,The Weeknd,,Less Than Zero,1768
5,,"['atl hip hop', 'melodic rap', 'rap', 'trap']",210.586,True,0.867,0.647,10,-8.765,0,0.583,0.04,0.0,0.131,0.56,77.471,58,Gunna,,idk that bitch (feat. G Herbo),1770
6,,"['contemporary country', 'country', 'country road', 'modern country rock']",190.451,False,0.486,0.838,6,-5.407,1,0.0617,0.0523,0.0,0.0845,0.664,171.963,57,Zac Brown Band,,Same Boat,1771
7,,"['atl hip hop', 'melodic rap', 'rap', 'trap']",142.226,True,0.748,0.607,7,-6.067,1,0.212,0.022,0.0,0.1,0.618,80.98,53,Gunna,,livin wild,1772
8,,"['canadian contemporary r&b', 'canadian pop', 'pop']",214.214,False,0.805,0.498,7,-7.927,0,0.0737,0.0203,2.37e-05,0.085,0.636,121.006,64,The Weeknd,,How Do I Make You Love Me?,1773
9,,"['canadian contemporary r&b', 'canadian pop', 'pop']",209.777,True,0.469,0.623,1,-4.432,1,0.0302,0.345,0.0,0.588,0.198,134.943,60,The Weeknd,,"Here We Go… Again (feat. Tyler, the Creator)",1774
10,,"['canadian contemporary r&b', 'canadian pop', 'pop']",163.504,False,0.737,0.564,4,-7.045,0,0.105,0.436,0.0,0.351,0.528,90.0,62,The Weeknd,,Best Friends,1775
11,,"['canadian contemporary r&b', 'canadian pop', 'pop']",263.641,True,0.736,0.848,9,-5.494,0,0.171,0.103,0.0,0.299,0.784,109.946,58,The Weeknd,,I Heard You’re Married (feat. Lil Wayne),1776
12,,"['canadian contemporary r&b', 'canadian pop', 'pop']",96.24,False,0.28,0.478,9,-8.755,0,0.037,0.674,5.85e-05,0.483,0.0807,111.65,55,The Weeknd,,Dawn FM,1777
13,,"['atl hip hop', 'melodic rap', 'rap', 'trap']",132.173,True,0.811,0.531,2,-7.23,1,0.414,0.127,0.0,0.102,0.338,106.557,51,Gunna,,private island,1778
14,,"['atl hip hop', 'melodic rap', 'rap', 'trap']",122.693,True,0.884,0.675,5,-7.209,0,0.185,0.134,0.0,0.13,0.452,133.963,63,Gunna,,south to west,1779
15,,"['atl hip hop', 'melodic rap', 'rap', 'trap']",144.373,True,0.744,0.535,6,-9.499,0,0.0736,0.279,0.0,0.143,0.106,132.86,51,Gunna,,you & me,1780
16,,"['canadian contemporary r&b', 'canadian pop', 'pop']",148.0,False,0.309,0.418,9,-8.622,0,0.031,0.465,7.58e-05,0.295,0.146,134.23,61,The Weeknd,,Starry Eyes,1781
17,,"['canadian contemporary r&b', 'canadian pop', 'pop']",205.469,False,0.767,0.618,10,-7.163,1,0.032,0.31,0.0,0.179,0.243,121.959,58,The Weeknd,,Don’t Break My Heart,1782
18,,"['atl hip hop', 'melodic rap', 'rap', 'trap']",152.0,True,0.895,0.573,2,-8.332,0,0.0881,0.194,0.0,0.0799,0.585,119.983,49,Gunna,,flooded,1783
19,,"['atl hip hop', 'melodic rap', 'rap', 'trap']",261.866,True,0.588,0.402,10,-10.812,1,0.251,0.181,0.0,0.121,0.216,175.667,46,Gunna,,die alone (feat. Yung Bleu),1784
20,,"['canadian contemporary r&b', 'canadian pop', 'pop']",167.255,False,0.447,0.959,0,-5.59,1,0.348,0.109,2.75e-05,0.0498,0.46,118.167,52,The Weeknd,,Every Angel is Terrifying,1785
21,,"['contemporary country', 'country', 'country road', 'modern country rock']",207.161,False,0.757,0.705,2,-5.084,1,0.0252,0.0375,6.28e-06,0.114,0.855,104.969,63,Jon Pardi,,Tequila Little Time,1786
22,,"['indie rock italiano', 'italian pop']",211.56,False,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,84,Måneskin,,Beggin',1787
23,,"['reggaeton', 'trap latino', 'urbano latino']",287.12,True,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,79,Farruko,,Pepas,1789
24,,"['dance pop', 'pop']",242.096,False,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,80,Bruno Mars,,Leave The Door Open,1790
25,,"['contemporary country', 'country pop', 'country road', 'modern country rock']",207.666,False,0.601,0.675,4,-6.358,1,0.0399,0.698,0.0,0.125,0.446,131.933,60,Ryan Hurd,,Chasing After You,1791
26,,['alternative hip hop'],161.803,False,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,72,Oliver Tree,,Life Goes On,1792
27,,"['pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",183.333,True,0.778,0.934,9,-3.488,1,0.321,0.184,0.0,0.123,0.803,98.97,47,Wale,,Poke It Out (feat. J. Cole),1793
28,,"['chicago rap', 'melodic rap', 'rap']",217.222,True,0.354,0.475,1,-9.333,0,0.0425,0.149,0.034,0.21,0.0393,114.975,67,Juice WRLD,,Burn,1794
29,,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",165.066,True,0.91,0.585,11,-7.572,0,0.257,0.0536,0.0,0.127,0.599,129.011,65,Young Thug,,Bubbly (with Drake & Travis Scott),1795
30,,"['hip hop', 'rap']",252.262,True,0.711,0.611,1,-5.453,1,0.33,0.00588,0.0,0.23,0.144,134.093,80,Baby Keem,,family ties (with Kendrick Lamar),1796
31,,"['r&b', 'rap']",214.093,True,0.612,0.423,5,-8.062,0,0.0508,0.588,0.0,0.117,0.18,135.841,60,H.E.R.,,Come Through (feat. Chris Brown),1798
32,,"['chicago rap', 'melodic rap', 'rap']",188.833,True,0.687,0.643,0,-4.763,1,0.0406,0.0518,3.31e-06,0.11,0.418,135.068,60,Juice WRLD,,Wandered To LA (with Justin Bieber),1799
33,,"['chicago rap', 'melodic rap', 'rap']",231.22,True,0.744,0.495,1,-6.311,1,0.0634,0.0216,0.0,0.111,0.128,83.51,66,Juice WRLD,,Already Dead,1800
34,,"['baton rouge rap', 'rap']",189.851,True,0.773,0.608,1,-6.117,0,0.223,0.616,0.0,0.0966,0.475,79.002,55,YoungBoy Never Broke Again,,Black Ball,1801
35,,"['chicago rap', 'rap']",106.0,True,0.882,0.662,0,-6.382,1,0.242,0.0124,0.0,0.106,0.57,120.034,62,Polo G,,Bad Man (Smooth Criminal),1802
36,,"['contemporary country', 'modern country pop']",179.213,False,0.504,0.525,4,-5.835,1,0.0336,0.547,0.0,0.11,0.523,149.874,53,Priscilla Block,,Just About Over You,1803
37,,"['contemporary country', 'country', 'country road']",148.72,False,0.77,0.623,1,-4.393,1,0.0322,0.153,0.0,0.0637,0.881,98.998,23,Dan + Shay,,Pick Out A Christmas Tree,1804
38,,['pop'],232.656,False,0.473,0.493,9,-6.579,0,0.0352,0.452,0.0,0.392,0.465,129.685,37,Taylor Swift,,Christmas Tree Farm (Old Timey Version),1805
39,,"['dance pop', 'pop']",178.427,False,0.259,0.389,7,-5.998,1,0.0297,0.551,0.0,0.309,0.405,165.844,30,Camila Cabello,,I'll Be Home For Christmas,1806
40,,"['j-division', 'korean ost']",209.946,False,0.437,0.384,5,-8.384,1,0.042,0.699,2.33e-05,0.121,0.181,139.009,70,V,,Christmas Tree,1807
41,,"['dance pop', 'pop', 'talent show']",231.549,False,0.58,0.789,1,-4.918,0,0.0457,0.0429,0.0,0.146,0.572,139.901,32,Kelly Clarkson,,Christmas Isn't Canceled (Just You),1808
42,,"['melodic rap', 'rap', 'trap']",204.626,True,0.793,0.481,9,-9.258,1,0.124,0.019,1.09e-06,0.139,0.395,132.202,53,Roddy Ricch,,25 million,1809
43,,"['melodic rap', 'rap', 'trap']",222.225,True,0.717,0.444,1,-11.126,1,0.18,0.0196,0.000315,0.114,0.116,124.685,48,Roddy Ricch,,moved to miami (feat. Lil Baby),1810
44,,"['melodic rap', 'rap', 'trap']",170.413,True,0.681,0.522,5,-8.74,0,0.303,0.0191,0.0,0.415,0.219,172.946,56,Roddy Ricch,,hibachi (feat. Kodak Black & 21 Savage),1811
45,,"['melodic rap', 'rap', 'trap']",200.958,True,0.875,0.478,7,-10.562,1,0.218,0.00717,0.0,0.147,0.409,128.99,49,Roddy Ricch,,thailand,1812
46,,"['contemporary country', 'country', 'country road']",226.266,False,0.557,0.565,7,-6.12,1,0.026,0.229,3.9e-06,0.119,0.187,125.956,54,Kenny Chesney,,Knowing You,1813
47,,"['chicago rap', 'melodic rap', 'rap']",226.149,True,0.603,0.771,9,-6.336,1,0.0627,0.194,0.0,0.13,0.332,139.988,64,Juice WRLD,,Girl Of My Dreams (with SUGA of BTS),1814
48,,"['chicago rap', 'melodic rap', 'rap']",212.203,True,0.575,0.619,0,-6.663,1,0.322,0.0208,0.0,0.103,0.296,110.109,64,Juice WRLD,,Feline (with Polo G & Trippie Redd),1815
49,,"['chicago rap', 'melodic rap', 'rap']",180.75,True,0.685,0.729,7,-8.694,0,0.15,0.415,0.0,0.196,0.382,170.025,59,Juice WRLD,,Rockstar In His Prime,1816
50,,"['chicago rap', 'melodic rap', 'rap']",170.791,True,0.724,0.748,4,-4.335,0,0.0722,0.0012,0.0,0.132,0.118,158.04,59,Juice WRLD,,You Wouldn't Understand,1817
51,,[],150.967,True,0.73,0.703,1,-3.893,1,0.211,0.0696,0.0,0.316,0.853,93.211,64,Lyrical Lemonade,,Doomsday (with Juice WRLD & Cordae),1819
52,,"['chicago rap', 'melodic rap', 'rap']",214.727,True,0.616,0.463,7,-7.666,0,0.18,0.611,4.65e-06,0.163,0.0682,145.289,57,Juice WRLD,,Go Hard 2.0,1820
53,,"['chicago rap', 'melodic rap', 'rap']",171.829,True,0.693,0.715,7,-6.108,1,0.049,0.00369,2.86e-06,0.205,0.323,90.006,61,Juice WRLD,,Not Enough,1821
54,,"['melodic rap', 'rap', 'trap']",215.303,True,0.849,0.631,3,-4.241,0,0.0637,0.171,0.0,0.149,0.55,135.997,62,A Boogie Wit da Hoodie,,Man in the Mirror,1822
55,,"['chicago rap', 'melodic rap', 'rap']",187.211,True,0.702,0.514,4,-6.674,0,0.0432,0.129,0.0,0.104,0.133,76.982,63,Juice WRLD,,From My Window,1823
56,,"['chicago rap', 'melodic rap', 'rap']",208.188,True,0.706,0.59,10,-6.403,1,0.0619,0.114,0.0,0.128,0.462,82.973,56,Juice WRLD,,Relocate,1824
57,,"['chicago rap', 'melodic rap', 'rap']",230.094,True,0.619,0.622,6,-5.874,0,0.0461,0.0935,0.0,0.226,0.194,150.062,56,Juice WRLD,,Feel Alone,1825
58,,"['chicago rap', 'rap']",156.734,True,0.684,0.624,2,-7.414,0,0.347,0.239,0.0,0.112,0.708,146.925,53,Polo G,,Don’t Play (with Lil Baby),1826
59,,['pop rap'],105.377,True,0.666,0.643,8,-7.01,1,0.423,0.386,0.0,0.283,0.756,96.375,58,Capella Grey,,GYALIS,1827
60,,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",161.052,True,0.681,0.63,1,-5.585,1,0.0385,0.00383,0.0,0.139,0.183,151.951,57,Meek Mill,,Sharing Locations (feat. Lil Baby & Lil Durk),1828
61,,"['chicago rap', 'rap']",172.394,True,0.465,0.729,3,-6.93,0,0.237,0.0072,0.0,0.139,0.606,95.001,48,Polo G,,Young N Dumb,1829
62,,"['chicago rap', 'rap']",108.889,True,0.875,0.601,11,-7.191,0,0.314,0.0233,0.0,0.14,0.649,124.008,51,Polo G,,Start Up Again (with Moneybagg Yo),1830
63,,"['contemporary country', 'country', 'country road', 'modern country rock']",180.616,False,0.617,0.704,6,-7.61,0,0.0258,0.171,0.0,0.0924,0.57,91.541,69,Lee Brice,,Memory I Don't Mess With,1831
64,,"['r&b', 'rap']",233.069,True,0.547,0.619,3,-6.485,0,0.132,0.0951,2.62e-06,0.0716,0.519,76.285,63,Brent Faiyaz,,MERCEDES,1832
65,,"['chicago rap', 'rap']",170.322,True,0.744,0.439,1,-11.891,0,0.0632,0.424,0.0,0.104,0.39,124.008,64,Polo G,,Partin Ways,1833
66,,"['pop', 'r&b']",209.476,True,0.74,0.576,6,-6.744,0,0.146,0.0249,0.0,0.104,0.315,110.095,60,Normani,,Wild Side (feat. Cardi B),1834
67,,"['british soul', 'pop', 'pop soul', 'uk pop']",389.107,False,0.339,0.492,1,-10.661,1,0.0559,0.829,0.00377,0.147,0.102,151.865,64,Adele,,My Little Love,1835
68,,"['british soul', 'pop', 'pop soul', 'uk pop']",210.384,False,0.703,0.68,9,-6.118,0,0.0431,0.0171,0.0,0.178,0.536,97.985,68,Adele,,Can I Get It,1836
69,,"['british soul', 'pop', 'pop soul', 'uk pop']",376.169,False,0.437,0.565,10,-5.596,1,0.0466,0.697,0.0,0.119,0.306,115.389,73,Adele,,I Drink Wine,1837
70,,"['modern country pop', 'singer-songwriter pop']",131.824,False,0.655,0.572,3,-7.666,0,0.0535,0.646,1.81e-06,0.0774,0.403,137.12,68,Jessie Murph,,Always Been You,1838
