,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
20,,,,,,,,,,,,,,,,Olivia Rodrigo,['Olivia Rodrigo'],Hope Ur OK,2208
21,,,,,,,,,,,,,,,,Lil Baby,"['Lil Baby', 'Lil Durk']",If You Want To,2209
22,,339.506,True,0.573,0.8669999999999999,5.0,-2.876,0.0,0.168,0.0853,0.0,0.38,0.231,74.861,81.0,Nicki Minaj,"['Nicki Minaj', ' Drake', 'Lil Wayne']",Seeing Green,2210
23,,,,,,,,,,,,,,,,Eminem,"['Eminem', 'Jack Harlow', 'Cordae']",Killer,2214
24,"['conscious hip hop', 'north carolina hip hop', 'rap']",,,,,,,,,,,,,,,J. Cole,['J. Cole'],amari,2215
25,,,,,,,,,,,,,,,,Travis Scott,"['Travis Scott', 'HVME']",Goosebumps,2216
26,,,,,,,,,,,,,,,,Young Thug,"['Young Thug', 'Gunna', 'Drake']",Solid,2217
27,,,,,,,,,,,,,,,,Pop Smoke,"['Pop Smoke', 'A Boogie Wit da Hoodie']",Hello,2218
28,"['conscious hip hop', 'north carolina hip hop', 'rap']",,,,,,,,,,,,,,,J. Cole,['J. Cole'],95.south,2220
29,,,,,,,,,,,,,,,,Future,"['Future', 'Lil Uzi Vert']",Drankin N Smokin,2221
30,,197.333,False,0.7269999999999999,0.546,0.0,-4.572,1.0,0.0437,0.656,0.0,0.122,0.69,106.891,9.0,Gera MX,"['Gera MX', 'Christian Nodal']",Botella Tras Botella,2223
31,"['conscious hip hop', 'north carolina hip hop', 'rap']",,,,,,,,,,,,,,,J. Cole,['J. Cole'],applying.pressure,2225
32,,,,,,,,,,,,,,,,J. Cole,"['J. Cole', 'Bas']",100.mil',2227
33,,,,,,,,,,,,,,,,J. Cole,"['J. Cole', ' Bas', '6LACK']",let.go.my.hand,2228
34,,,,,,,,,,,,,,,,A Boogie Wit da Hoodie,"['A Boogie Wit da Hoodie', 'Lil Durk']",24 Hours,2229
35,"['conscious hip hop', 'north carolina hip hop', 'rap']",,,,,,,,,,,,,,,J. Cole,['J. Cole'],punchin'.the.clock,2230
36,"['conscious hip hop', 'north carolina hip hop', 'rap']",,,,,,,,,,,,,,,J. Cole,['J. Cole'],the.climb.back,2231
37,,,,,,,,,,,,,,,,J. Cole,"['J. Cole', 'Bas']",hunger.on.hillside,2232
38,,,,,,,,,,,,,,,,Internet Money,"['Internet Money', ' Don Toliver', 'Lil Uzi Vert', 'Gunna']",His & Hers,2235
39,,,,,,,,,,,,,,,,Bad Bunny,"['Bad Bunny', 'Rosalia']",La Noche de Anoche,2239
40,,,,,,,,,,,,,,,,Nicki Minaj,"['Nicki Minaj', 'Skillibeng']",Crocodile Teeth,2244
41,,182.437,True,0.88,0.662,0.0,-5.766,1.0,0.3039999999999999,0.2049999999999999,0.0,0.227,0.7259999999999999,109.988,78.0,Ariana Grande,"['Ariana Grande', 'Doja Cat', 'Megan Thee Stallion']",34+35,2245
42,,,,,,,,,,,,,,,,Bad Bunny,"['Bad Bunny', 'Jhay Cortez']",Dakiti,2248
43,,,,,,,,,,,,,,,,Yung Bleu,"['Yung Bleu', 'Drake']",You're Mines Still,2249
44,,,,,,,,,,,,,,,,Parmalee x Blanco Brown,['Parmalee x Blanco Brown'],Just The Way,2253
45,,218.447,True,0.5969999999999999,0.571,1.0,-6.205,0.0,0.2929999999999999,0.4919999999999999,0.0,0.093,0.165,106.196,83.0,Joyner Lucas,"['Joyner Lucas', 'Lil Baby']",Ramen & OJ,2254
46,,,,,,,,,,,,,,,,Moneybagg Yo,"['Moneybagg Yo', 'Future']",Hard For The Next,2256
47,,,,,,,,,,,,,,,,DJ Khaled,"['DJ Khaled', 'Post Malone', ' Megan Thee Stallion', ' Lil Baby', 'DaBaby']",I Did It,2258
48,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap']",,,,,,,,,,,,,,,Lil Durk,['Lil Durk'],Hellcats & Trackhawks,2261
49,,,,,,,,,,,,,,,,DJ Khaled,"['DJ Khaled', 'Justin Bieber', '21 Savage']",Let It Go,2262
50,,,,,,,,,,,,,,,,Rod Wave,"['Rod Wave', 'Polo G']",Richer,2263
51,,144.349,True,0.808,0.639,1.0,-7.266,0.0,0.279,0.0801999999999999,0.0,0.15,0.395,118.0,85.0,Lil Tjay,"['Lil Tjay', ' Polo G', 'Fivio Foreign']",Headshot,2264
52,,,,,,,,,,,,,,,,Moneybagg Yo,"['Moneybagg Yo', 'BIG30']",Go!,2265
53,,176.96,True,0.755,0.5779999999999998,0.0,-8.932,0.0,0.1449999999999999,0.316,0.0,0.25,0.5809999999999998,94.148,83.0,Chris Brown,"['Chris Brown', 'Young Thug']",Go Crazy,2266
54,,,,,,,,,,,,,,,,DJ Khaled,"['DJ Khaled', 'Nas', ' JAY-Z', 'James Fauntleroy']",Sorry Not Sorry,2267
55,,,,,,,,,,,,,,,,DJ Khaled,"['DJ Khaled', 'Bryson Tiller', ' Lil Baby', 'Roddy Ricch']",Body In Motion,2269
56,,,,,,,,,,,,,,,,DJ Khaled,"['DJ Khaled', 'Cardi B']",Big Paper,2270
57,,,,,,,,,,,,,,,,Baby Keem,"['Baby Keem', 'Travis Scott']",Durag Activity,2271
58,,,,,,,,,,,,,,,,DJ Khaled,"['DJ Khaled', 'Lil Wayne', 'Jeremih']",Thankful,2274
59,,,,,,,,,,,,,,,,Pop Smoke,"['Pop Smoke', 'Lil Baby', 'DaBaby']",For The Night,2275
