,Unnamed: 0,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
0,,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",223.532,False,0.681,0.807,10,-2.362,0,0.252,0.0536,0.0,0.59,0.538,148.026,51,DJ Khaled,,USE THIS GOSPEL (feat. Kanye West & Eminem) - REMIX,1359
1,,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",207.65,True,0.652,0.716,1,-4.012,0,0.166,0.0196,0.0,0.11,0.681,147.959,55,DJ Khaled,,Juice WRLD DID (feat. Juice WRLD),1360
2,,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",184.925,True,0.665,0.887,11,-2.18,0,0.173,0.0125,0.0,0.272,0.622,151.052,46,DJ Khaled,,"KEEP GOING (feat. Lil Durk, 21 Savage & Roddy Ricch)",1361
3,,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",211.025,True,0.786,0.618,2,-6.449,1,0.153,0.024,0.0,0.336,0.443,119.964,49,DJ Khaled,,PARTY (feat. Quavo & Takeoff),1362
4,,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",170.197,True,0.742,0.792,7,-4.291,1,0.322,0.00096,0.0,0.365,0.809,147.958,47,DJ Khaled,,IT AIN'T SAFE (feat. Nardo Wick & Kodak Black),1363
5,,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",47.354,False,0.398,0.626,1,-4.164,0,0.0367,0.195,2.55e-05,0.16,0.0404,106.733,50,DJ Khaled,,NO SECRET (feat. Drake),1364
6,,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",158.979,True,0.62,0.753,1,-7.203,1,0.0424,0.00385,9.4e-06,0.111,0.0711,156.933,52,DJ Khaled,,LET'S PRAY (feat. Don Toliver & Travis Scott),1365
7,,"['pop', 'r&b']",215.459,True,0.545,0.641,10,-6.398,0,0.0998,0.00453,6.59e-05,0.171,0.464,121.892,68,Beyoncé,,ALIEN SUPERSTAR,1366
8,,"['reggaeton', 'trap latino', 'urbano latino']",198.367,True,0.663,0.786,11,-3.51,0,0.195,0.229,0.0,0.219,0.579,196.12,76,Bad Bunny,,La Corriente,1367
9,,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",200.547,True,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,67,Kodak Black,,Super Gremlin,1368
