,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
20,,,,,,,,,,,,,,,,The Weeknd,['The Weeknd'],Is There Someone Else?,1764
21,,,,,,,,,,,,,,,,Gunna,"['Gunna', 'Young Thug']",Mop,1765
22,,,,,,,,,,,,,,,,The Weeknd,['The Weeknd'],Gasoline,1766
23,,,,,,,,,,,,,,,,Gunna,['Gunna'],Alotta Cake,1767
24,,,,,,,,,,,,,,,,The Weeknd,['The Weeknd'],Less Than Zero,1768
25,,,,,,,,,,,,,,,,Coldplay x BTS,['Coldplay x BTS'],My Universe,1769
26,,,,,,,,,,,,,,,,Gunna,"['Gunna', 'G Herbo']",IDK That Bitch,1770
27,,,,,,,,,,,,,,,,Zac Brown Band,['Zac Brown Band'],Same Boat,1771
28,,,,,,,,,,,,,,,,Gunna,['Gunna'],Livin Wild,1772
29,,,,,,,,,,,,,,,,The Weeknd,['The Weeknd'],How Do I Make You Love Me?,1773
30,,,,,,,,,,,,,,,,The Weeknd,"['The Weeknd', 'Tyler', ' The Creator']",Here We Go... Again,1774
31,,,,,,,,,,,,,,,,The Weeknd,['The Weeknd'],Best Friends,1775
32,,,,,,,,,,,,,,,,The Weeknd,"['The Weeknd', 'Lil Wayne']",I Heard You're Married,1776
33,,,,,,,,,,,,,,,,The Weeknd,['The Weeknd'],Dawn FM,1777
34,,,,,,,,,,,,,,,,Gunna,['Gunna'],Private Island,1778
35,,,,,,,,,,,,,,,,Gunna,['Gunna'],South To West,1779
36,,,,,,,,,,,,,,,,Gunna,"['Gunna', 'Chloe']",You & Me,1780
37,,,,,,,,,,,,,,,,The Weeknd,['The Weeknd'],Starry Eyes,1781
38,,,,,,,,,,,,,,,,The Weeknd,['The Weeknd'],Don't Break My Heart,1782
39,,,,,,,,,,,,,,,,Gunna,['Gunna'],Flooded,1783
40,,,,,,,,,,,,,,,,Gunna,"['Gunna', 'Chris Brown', 'Yung Bleu']",Die Alone,1784
41,,,,,,,,,,,,,,,,The Weeknd,['The Weeknd'],Every Angel Is Terrifying,1785
42,,,,,,,,,,,,,,,,Jon Pardi,['Jon Pardi'],Tequila Little Time,1786
43,,,,,,,,,,,,,,,,Maneskin,['Maneskin'],Beggin',1787
44,,,,,,,,,,,,,,,,Farruko,['Farruko'],Pepas,1789
45,,,,,,,,,,,,,,,,Silk Sonic (Bruno Mars,"['Silk Sonic (Bruno Mars', 'Anderson .Paak)']",Leave The Door Open,1790
