Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
2013-01-23,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,1,1,-,https://charts-static.billboard.com/img/2012/09/macklemore-ryan-lewis-79t-thriftshop-0bd-180x180.jpg
2013-01-23,Locked Out Of Heaven,Bruno Mars,2,2,1,-,https://charts-static.billboard.com/img/2012/10/bruno-mars-c75-lockedoutofheaven-fgw-180x180.jpg
2013-01-23,Diamonds,Rihanna,3,3,1,-,https://charts-static.billboard.com/img/2012/10/rihanna-k0p-diamonds-wld-180x180.jpg
2013-01-23,Ho Hey,The Lumineers,4,4,1,-,https://charts-static.billboard.com/img/2012/04/the-lumineers-3ig-180x180.jpg
2013-01-23,It's Time,Imagine Dragons,5,5,1,-,https://charts-static.billboard.com/img/1840/12/imagine-dragons-hy6-180x180.jpg
2013-01-23,Don't You Worry Child,Swedish House Mafia Featuring John Martin,6,6,1,-,https://charts-static.billboard.com/img/2012/09/swedish-house-mafia-ep7-106x106.jpg
2013-01-23,Radioactive,Imagine Dragons,7,7,1,-,https://charts-static.billboard.com/img/2012/08/imagine-dragons-ud7-radioactive-qrr-180x180.jpg
2013-01-23,Swimming Pools (Drank),Kendrick Lamar,8,8,1,-,https://charts-static.billboard.com/img/2012/08/kendrick-lamar-atc-swimmingpoolsdrank-9i9-180x180.jpg
2013-01-23,Scream & Shout,will.i.am & Britney Spears,9,9,1,-,https://charts-static.billboard.com/img/2012/12/william-eaz-106x106.jpg
2013-01-23,F**kin Problems,A$AP Rocky Featuring Drake| 2 Chainz & Kendrick Lamar,10,10,1,-,https://charts-static.billboard.com/img/2011/12/aap-rocky-ai8-180x180.jpg
2013-01-23,Some Nights,fun.,11,11,1,-,https://charts-static.billboard.com/img/2009/09/fun-0dk-180x180.jpg
2013-01-23,Die Young,Ke$ha,12,12,1,-,https://charts-static.billboard.com/img/2012/10/kesha-1uk-dieyoung-tsg-180x180.jpg
2013-01-23,Gangnam Style,PSY,13,13,1,-,https://charts-static.billboard.com/img/2012/07/psy-auz-gangnam-style-gr3-180x180.jpg
2013-01-23,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,14,14,1,-,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg
2013-01-23,Sweet Nothing,Calvin Harris Featuring Florence Welch,15,15,1,-,https://charts-static.billboard.com/img/2012/10/calvin-harris-ffl-180x180.jpg
2013-01-23,One More Night,Maroon 5,16,16,1,-,https://charts-static.billboard.com/img/1840/12/maroon-5-9st-180x180.jpg
2013-01-23,Home,Phillip Phillips,17,17,1,-,https://charts-static.billboard.com/img/1840/12/phillip-phillips-75j-180x180.jpg
2013-01-23,The A Team,Ed Sheeran,18,18,1,-,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
2013-01-23,Little Talks,Of Monsters And Men,19,19,1,-,https://charts-static.billboard.com/img/2011/11/of-monsters-and-men-03q-little-talks-jig-180x180.jpg
2013-01-23,I Cry,Flo Rida,20,20,1,-,https://charts-static.billboard.com/img/2012/09/flo-rida-8v1-106x106.jpg
2013-01-23,We Are Never Ever Getting Back Together,Taylor Swift,21,21,1,-,https://charts-static.billboard.com/img/2006/07/taylor-swift-9sy-180x180.jpg
